Entry,Identity,M+.,[M+H]+,CCS (Å2),SourceCCS,Retention time (min),SourceRT,Retention index,Type
142,"2,4-Dibromoanisole",265.876,266.8838,140.54,Predicted,17.08,Predicted,1910,Kovatas
143,Tetrachloronaphthalene 43,265.9033,266.9111,148.18,Predicted,15.91,Predicted,1798,Kovatas
144,Tetrachloronaphthalene 32,265.9033,266.9111,151.04,Predicted,16.63,Predicted,1866,Kovatas
145,Tetrachloronaphthalene 34,265.9033,266.9111,150.56,Predicted,16.83,Predicted,1885,Kovatas
146,Tetrachloronaphthalene 28,265.9033,266.9111,149.29,Predicted,16.88,Predicted,1890,Kovatas
147,Tetrachloronaphthalene 29,265.9033,266.9111,148.95,Predicted,16.93,Predicted,1895,Kovatas
148,Tetrachloronaphthalene 45,265.9033,266.9111,150.27,Predicted,17.06,Predicted,1908,Kovatas
149,Tetrachloronaphthalene 44,265.9033,266.9111,150.7,Predicted,17.17,Predicted,1919,Kovatas
150,Tetrachloronaphthalene 46,265.9033,266.9111,143.52,Predicted,17.2,Predicted,1922,Kovatas
151,Tetrachloronaphthalene 33,265.9033,266.9111,150.49,Predicted,17.25,Predicted,1927,Kovatas
152,Tetrachloronaphthalene 47,265.9033,266.9111,149.25,Predicted,17.29,Predicted,1931,Kovatas
153,Tetrachloronaphthalene 40,265.9033,266.9111,150.07,Predicted,17.3,Predicted,1932,Kovatas
154,Tetrachloronaphthalene 27,265.9033,266.9111,148.7,Predicted,17.44,Predicted,1946,Kovatas
155,Tetrachloronaphthalene 38,265.9033,266.9111,148.66,Predicted,17.52,Predicted,1954,Kovatas
156,Tetrachloronaphthalene 30,265.9033,266.9111,149.58,Predicted,17.71,Predicted,1973,Kovatas
157,Tetrachloronaphthalene 48,265.9033,266.9111,152.28,Predicted,17.77,Predicted,1979,Kovatas
158,Tetrachloronaphthalene 41,265.9033,266.9111,152.26,Predicted,17.83,Predicted,1985,Kovatas
159,Tetrachloronaphthalene 42,265.9033,266.9111,150.75,Predicted,17.84,Predicted,1986,Kovatas
160,Tetrachloronaphthalene 35,265.9033,266.9111,150.72,Predicted,18.05,Predicted,2007,Kovatas
161,Tetrachloronaphthalene 37,265.9033,266.9111,150.43,Predicted,18.1,Predicted,2013,Kovatas
162,Tetrachloronaphthalene 39,265.9033,266.9111,152.07,Predicted,18.29,Predicted,2032,Kovatas
163,Tetrachloronaphthalene 36,265.9033,266.9111,151.51,Predicted,18.34,Predicted,2037,Kovatas
164,Tetrachloronaphthalene 31,265.9033,266.9111,149.38,Predicted,18.53,Predicted,2057,Kovatas
165,Musk tibetene,266.1262,267.134,158.89,Predicted,17.05,Measured,1907,Kovatas
166,Atenolol,266.1625,267.1703,158.75,Measured,20.92,Predicted,2326,Kovatas
167,Tributyl phosphate,266.1642,267.172,168.44,Measured,13.46,Measured,1483,Kovatas
168,Tri-iso-butyl phosphate,266.1642,267.172,165.44,Measured,12.37,Measured,531757,Fiehn
169,"2-(2,4-Dimethyl-3-cyclohexen-1-yl)-5-methyl-5-(1-methylpropyl)-1,3-dioxane",266.2241,267.2319,165.36,Predicted,15.43,Predicted,1753,Kovatas
170,"4,4'-Bis(dimethylamino)benzophenone",268.1571,269.1649,165.02,Predicted,21.07,Predicted,2344,Kovatas
171,Sulfmethizole,270.024,271.0318,154.83,Measured,36.9,Predicted,4095,Kovatas
172,"2,2-Bis(4'-hydroxyphenyl)-4-methylpentane",270.1615,271.1693,167.19,Predicted,21.15,Predicted,2354,Kovatas
173,Estrone,270.1615,271.1693,165.76,Predicted,24.1,Measured,2737,Kovatas
174,"2,4,6-Trichlorodiphenyl ether",271.9557,272.9635,156.36,Predicted,16.19,Predicted,1824,Kovatas
175,"2,3,5-Trichlorodiphenyl ether",271.9557,272.9635,159.02,Predicted,16.67,Predicted,1870,Kovatas
176,"2,4,5-Trichlorodiphenyl ether",271.9557,272.9635,159.61,Predicted,16.79,Predicted,1881,Kovatas
177,"2,3,4-Trichlorodiphenyl ether",271.9557,272.9635,156.54,Predicted,16.93,Predicted,1895,Kovatas
178,"2,3,6-Trichlorodiphenyl ether",271.9557,272.9635,153.32,Predicted,17.03,Predicted,1905,Kovatas
179,"2,4,4'-Trichlorodiphenyl ether",271.9557,272.9635,159.15,Predicted,17.05,Predicted,1907,Kovatas
180,"2,4',5-Trichlorodiphenyl ether",271.9557,272.9635,157.36,Predicted,17.09,Predicted,1911,Kovatas
181,"2,2',6-Trichlorodiphenyl ether",271.9557,272.9635,151.42,Predicted,17.31,Predicted,1933,Kovatas
182,"2,2',5-Trichlorodiphenyl ether",271.9557,272.9635,155.75,Predicted,17.34,Predicted,1936,Kovatas
183,"2,2',4-Trichlorodiphenyl ether",271.9557,272.9635,156.13,Predicted,17.37,Predicted,1939,Kovatas
184,"2,3',6-Trichlorodiphenyl ether",271.9557,272.9635,151.19,Predicted,17.39,Predicted,1941,Kovatas
185,"3,4,4'-Trichlorodiphenyl ether",271.9557,272.9635,161.33,Predicted,17.54,Predicted,1956,Kovatas
186,"2,3',5-Trichlorodiphenyl ether",271.9557,272.9635,156.51,Predicted,17.62,Predicted,1964,Kovatas
187,"2,2',3-Trichlorodiphenyl ether",271.9557,272.9635,156.39,Predicted,17.66,Predicted,1968,Kovatas
188,"3,4',5-Trichlorodiphenyl ether",271.9557,272.9635,161.15,Predicted,17.67,Predicted,1969,Kovatas
189,"2,3',4-Trichlorodiphenyl ether",271.9557,272.9635,158.02,Predicted,17.85,Predicted,1987,Kovatas
190,"2',3,4-Trichlorodiphenyl ether",271.9557,272.9635,159.52,Predicted,17.86,Predicted,1988,Kovatas
191,"2',3,5-Trichlorodiphenyl ether",271.9557,272.9635,158.19,Predicted,17.88,Predicted,1990,Kovatas
192,"2,3,4'-Trichlorodiphenyl ether",271.9557,272.9635,159.17,Predicted,18.06,Predicted,2008,Kovatas
193,"3,4,5-Trichlorodiphenyl ether",271.9557,272.9635,158.27,Predicted,18.08,Predicted,2010,Kovatas
194,"2,3,3'-Trichlorodiphenyl ether",271.9557,272.9635,157.46,Predicted,18.14,Predicted,2017,Kovatas
195,"2,4',6-Trichlorodiphenyl ether",271.9557,272.9635,152.34,Predicted,18.21,Predicted,2024,Kovatas
196,"3,3',5-Trichlorodiphenyl ether",271.9557,272.9635,159.18,Predicted,18.38,Predicted,2042,Kovatas
197,"3,3',4-Trichlorodiphenyl ether",271.9557,272.9635,159.5,Predicted,18.4,Predicted,2044,Kovatas
198,17b-Estradiol,272.1771,273.1849,167.23,Predicted,23.8,Predicted,2696,Kovatas
199,"Benzo[g,h,i]perylene",276.0934,277.1012,154.46,Measured,26.82,Measured,3115,Kovatas
200,Venlafaxine,277.2037,278.2115,170.71,Measured,22.09,Predicted,2471,Kovatas
201,Sulfamethazine,278.0832,279.091,162.16,Measured,22.84,Predicted,2568,Kovatas
202,Di-iso-butyl phthalate,278.1513,279.1591,171.43,Predicted,14.51,Measured,575187,Fiehn
203,Di-n-butyl phthalate,278.1513,279.1591,176.22,Predicted,15.66,Measured,622154,Fiehn
204,2-Methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one,279.1288,280.1366,168.12,Predicted,18.58,Predicted,2063,Kovatas
205,Pentachloroanisole,279.8592,280.867,148.24,Predicted,14.64,Measured,1681,Kovatas
206,Tris(2-methoxyethoxy)vinylsilane,280.1337,281.1415,159.1,Predicted,11.94,Predicted,1446,Kovatas
207,Bis(2-methoxyethyl) phthalate,282.1098,283.1176,165.67,Predicted,13.57,Measured,536152,Fiehn
208,Tris(2-chloroethyl)phosphate,283.9534,284.9612,150.36,Measured,15.29,Measured,1740,Kovatas
209,p-sec-Nonylphenol phosphite,284.1536,285.1614,170.73,Predicted,18.32,Predicted,2035,Kovatas
210,Bis(4-chlorophenyl) sulphone,285.9617,286.9695,157.48,Measured,19.5,Predicted,2162,Kovatas
211,Triclosan,287.9507,288.9585,158.4,Measured,19.06,Predicted,2114,Kovatas
212,Estriol,288.172,289.1798,165.62,Predicted,25.19,Predicted,2888,Kovatas
213,Desmethylsertraline,291.0577,292.0655,166.84,Predicted,21.47,Predicted,2393,Kovatas
